"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","diif_ranker","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,27,2018,6,0,6,351.0,9.0,39.0,0.0,0,0,0,17,1015,97,1,75,1,0,0,0,0
7,27,2018,7,0,6,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,1,90,1,0,0,0,0
7,27,2018,8,0,6,351.0,9.0,39.0,0.0,0,0,0,19,1016,88,1,40,1,0,0,0,0
7,27,2018,9,0,6,351.0,9.0,39.0,0.0,0,0,0,21,1016,68,1,40,1,0,0,0,0
7,27,2018,10,0,6,351.0,9.0,39.0,0.0,0,0,0,21,1016,77,3,75,1,0,0,0,0
7,27,2018,11,0,6,351.0,10.0,35.1,3.8999999999999986,0,0,0,21,1016,77,2,40,1,0,0,0,0
7,27,2018,12,0,6,351.0,10.0,35.1,3.8999999999999986,0,0,0,22,1016,64,3,20,1,0,0,0,0
7,27,2018,13,0,6,351.0,9.0,39.0,0.0,0,0,0,23,1015,49,3,20,1,0,0,0,0
7,27,2018,14,0,6,351.0,10.0,35.1,3.8999999999999986,0,0,0,21,1016,77,3,20,1,0,0,0,0
7,27,2018,15,0,6,351.0,12.0,29.25,9.75,0,0,0,21,1016,77,3,20,1,0,0,0,0
7,27,2018,16,0,6,351.0,10.0,35.1,3.8999999999999986,0,0,0,21,1016,73,6,20,1,0,0,0,0
7,27,2018,17,0,6,351.0,14.0,25.071428571428573,13.928571428571427,0,0,0,22,1016,68,4,20,1,0,0,0,0
7,27,2018,18,0,6,351.0,25.0,14.04,24.96,0,0,0,21,1016,68,5,20,1,0,0,0,0
7,27,2018,19,0,6,351.0,10.0,35.1,3.8999999999999986,0,0,0,19,1016,77,3,0,1,0,0,0,0
7,27,2018,20,0,6,351.0,10.0,35.1,3.8999999999999986,0,0,0,19,1017,77,1,0,1,0,0,0,0
7,27,2018,21,0,6,351.0,9.0,39.0,0.0,0,0,0,17,1017,88,1,0,1,0,0,0,0
7,27,2018,22,0,6,351.0,9.0,39.0,0.0,0,0,0,17,1017,88,0,0,1,0,0,0,0
7,27,2018,23,0,6,351.0,9.0,39.0,0.0,0,0,0,16,1017,93,0,0,1,0,0,0,0
8,1,2018,10,0,4,351.0,9.0,39.0,0.0,0,0,0,23,1017,69,2,0,1,0,0,0,0
8,1,2018,11,0,4,351.0,9.0,39.0,0.0,0,0,0,24,1016,64,3,0,1,0,0,0,0
8,1,2018,12,0,4,351.0,9.0,39.0,0.0,0,0,0,24,1016,60,4,0,1,0,0,0,0
8,1,2018,13,0,4,351.0,9.0,39.0,0.0,0,0,0,25,1015,57,4,0,1,0,0,0,0
8,1,2018,14,0,4,351.0,9.0,39.0,0.0,0,0,0,27,1015,54,4,0,1,0,0,0,0
8,1,2018,15,0,4,351.0,9.0,39.0,0.0,0,0,0,27,1014,51,4,0,1,0,0,0,0
8,1,2018,16,0,4,351.0,9.0,39.0,0.0,0,0,0,27,1014,47,5,0,1,0,0,0,0
8,1,2018,17,0,4,351.0,12.0,29.25,9.75,0,0,0,28,1014,45,6,0,1,0,0,0,0
8,1,2018,18,0,4,351.0,35.0,10.028571428571428,28.97142857142857,520,33,1,26,1013,57,2,0,1,0,0,0,0
8,1,2018,19,0,4,351.0,9.0,39.0,0.0,350,19,1,25,1013,61,3,0,1,0,0,0,0
8,1,2018,20,0,4,351.0,9.0,39.0,0.0,0,0,0,23,1013,69,1,0,1,0,0,0,0
8,1,2018,21,0,4,351.0,9.0,39.0,0.0,0,0,0,22,1013,78,1,0,1,0,0,0,0
8,1,2018,22,0,4,351.0,9.0,39.0,0.0,0,0,0,20,1013,88,0,0,1,0,0,0,0
8,1,2018,23,0,4,351.0,9.0,39.0,0.0,0,0,0,21,1013,83,0,0,1,0,0,0,0
8,2,2018,0,0,5,351.0,9.0,39.0,0.0,0,0,0,21,1013,83,0,0,1,0,0,0,0
8,2,2018,1,0,5,351.0,9.0,39.0,0.0,0,0,0,20,1013,88,1,0,1,0,0,0,0
8,2,2018,2,0,5,351.0,9.0,39.0,0.0,0,0,0,21,1013,83,0,0,1,0,0,0,0
8,2,2018,3,0,5,351.0,9.0,39.0,0.0,0,0,0,19,1013,93,1,0,1,0,0,0,0
8,2,2018,4,0,5,351.0,9.0,39.0,0.0,0,0,0,19,1013,93,0,0,1,0,0,0,0
8,2,2018,5,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1013,93,0,0,1,0,0,0,0
8,2,2018,6,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1013,100,0,0,1,0,0,0,0
8,2,2018,7,0,5,351.0,9.0,39.0,0.0,0,0,0,25,1013,73,1,0,1,0,0,0,0
8,2,2018,8,0,5,351.0,11.0,31.90909090909091,7.09090909090909,0,0,0,28,1014,65,2,0,1,0,0,0,0
8,2,2018,9,0,5,351.0,9.0,39.0,0.0,0,0,0,31,1014,43,2,0,1,0,0,0,0
8,2,2018,10,0,5,351.0,15.0,23.4,15.600000000000001,0,0,0,27,1014,65,2,0,1,0,0,0,0
