"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","diif_ranker","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,26,2018,19,0,5,1720.0,69.0,24.92753623188406,15.072463768115941,0,0,0,19,1016,82,3,0,1,0,0,0,0
7,26,2018,20,0,5,1720.0,43.0,40.0,0.0,0,0,0,18,1016,93,2,0,1,0,0,0,0
7,26,2018,21,0,5,1720.0,43.0,40.0,0.0,0,0,0,18,1017,88,0,0,1,0,0,0,0
7,26,2018,22,0,5,1720.0,43.0,40.0,0.0,0,0,0,16,1016,93,0,0,1,0,0,0,0
7,26,2018,23,0,5,1680.0,21.0,80.0,-40.0,0,0,0,16,1016,93,0,0,1,0,0,0,0
7,27,2018,0,0,6,1720.0,43.0,40.0,0.0,0,0,0,16,1016,100,0,75,1,0,0,0,0
7,27,2018,1,0,6,1720.0,43.0,40.0,0.0,0,0,0,17,1016,93,0,75,1,0,0,0,0
7,27,2018,2,0,6,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,0,75,1,0,0,0,0
7,27,2018,3,0,6,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,0,75,1,0,0,0,0
7,27,2018,4,0,6,1720.0,43.0,40.0,0.0,0,0,0,17,1015,100,3,75,1,0,0,0,0
7,27,2018,5,0,6,1720.0,43.0,40.0,0.0,0,0,0,17,1015,100,1,75,1,0,0,0,0
7,27,2018,6,0,6,1720.0,43.0,40.0,0.0,0,0,0,17,1015,97,1,75,1,0,0,0,0
7,27,2018,7,0,6,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,1,90,1,0,0,0,0
7,27,2018,8,0,6,1720.0,67.0,25.671641791044777,14.328358208955223,0,0,0,19,1016,88,1,40,1,0,0,0,0
7,27,2018,9,0,6,1720.0,43.0,40.0,0.0,0,0,0,21,1016,68,1,40,1,0,0,0,0
7,27,2018,10,0,6,1720.0,43.0,40.0,0.0,0,0,0,21,1016,77,3,75,1,0,0,0,0
7,27,2018,11,0,6,1680.0,27.0,62.22222222222222,-22.22222222222222,0,0,0,21,1016,77,2,40,1,0,0,0,0
7,27,2018,12,0,6,1680.0,30.0,56.0,-16.0,0,0,0,22,1016,64,3,20,1,0,0,0,0
7,27,2018,13,0,6,1680.0,25.0,67.2,-27.200000000000003,0,0,0,23,1015,49,3,20,1,0,0,0,0
7,27,2018,14,0,6,1680.0,28.0,60.0,-20.0,0,0,0,21,1016,77,3,20,1,0,0,0,0
7,27,2018,15,0,6,1680.0,28.0,60.0,-20.0,0,0,0,21,1016,77,3,20,1,0,0,0,0
7,27,2018,16,0,6,1680.0,28.0,60.0,-20.0,0,0,0,21,1016,73,6,20,1,0,0,0,0
7,27,2018,17,0,6,1680.0,40.0,42.0,-2.0,0,0,0,22,1016,68,4,20,1,0,0,0,0
7,27,2018,18,0,6,1680.0,64.0,26.25,13.75,0,0,0,21,1016,68,5,20,1,0,0,0,0
7,27,2018,19,0,6,1680.0,36.0,46.666666666666664,-6.666666666666664,0,0,0,19,1016,77,3,0,1,0,0,0,0
7,27,2018,20,0,6,1680.0,18.0,93.33333333333333,-53.33333333333333,0,0,0,19,1017,77,1,0,1,0,0,0,0
