"description","from_road","to_road","length_in_meters","delay_in_seconds","Year","Month (number)","Day of month","Hour","Minute","rua_name","dupl_from","dupl_to"
queuing traffic,Rua do Caires,N101,800,90,2018,8,9,18,0,Rua do Caires,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1200,94,2018,8,9,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,367,2018,8,10,10,0,Avenida da Liberdade,0,0
stationary traffic,Avenida João Paulo II,Avenida da Imaculada Conceição (N14) / Avenida da Liberdade (N309),510,129,2018,8,10,10,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,817,2018,8,10,11,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,103,2018,8,10,11,0,Avenida Central,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,367,2018,8,10,12,0,Avenida da Liberdade,0,0
queuing traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,400,221,2018,8,10,13,0,Avenida da Liberdade,0,0
queuing traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,270,191,2018,8,10,14,0,Avenida da Liberdade,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,367,2018,8,10,15,0,Avenida da Liberdade,0,0
queuing traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,316,356,2018,8,10,16,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida João Paulo II,255,87,2018,8,10,16,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Caires,Rua Feliciano Ramos (N101),1080,334,2018,8,10,16,0,Rua do Caires,0,0
stationary traffic,Avenida Central,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),480,377,2018,8,10,16,0,Avenida Central,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,517,2018,8,10,17,0,Avenida da Liberdade,0,0
queuing traffic,Avenida João Paulo II,Avenida da Imaculada Conceição (N14) / Avenida da Liberdade (N309),955,113,2018,8,10,17,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,517,2018,8,10,18,0,Avenida da Liberdade,0,0
slow traffic,Rua do Caires,Avenida Padre Júlio Fragata,1270,88,2018,8,10,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),385,207,2018,8,10,18,0,Avenida Central,0,0
stationary traffic,Avenida João Paulo II,Rua dos Bombeiros Voluntários,1370,394,2018,8,10,18,0,Avenida João Paulo II,0,0
stationary traffic,Rua de Cima,Rua Costa Gomes,460,127,2018,8,10,18,0,Rua Costa Gomes,0,0
slow traffic,Rua do Caires,Avenida Padre Júlio Fragata,1650,164,2018,8,10,19,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,517,2018,8,10,19,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1095,123,2018,8,10,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,8,10,19,0,Avenida Central,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,8,13,11,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),350,39,2018,8,13,14,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,143,2018,8,13,15,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1125,111,2018,8,13,15,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),880,52,2018,8,13,16,0,Avenida João Paulo II,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,8,13,17,0,Avenida Central,0,0
queuing traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1720,245,2018,8,13,17,0,Avenida João Paulo II,0,0
slow traffic,Avenida General Norton de Matos,Avenida Padre Júlio Fragata,800,63,2018,8,13,18,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1550,220,2018,8,13,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Imaculada Conceição (N14),Avenida da Liberdade,180,140,2018,8,14,12,0,Avenida da Liberdade,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,8,14,15,0,Avenida Central,0,0
