Mes,Dia,Ano,Hora,Minutos,Dia da semana,city_name,road_num,road_name,current_speed,free_flow_speed,speed_diff,current_travel_time,free_flow_travel_time,time_diff,elimina
7,27,2018,17,0,6,missing,,N14 Bosch,19,47,27,124,48,76,9
7,27,2018,17,0,6,missing,,Avenida Padre Júlio Fragata,44,67,22,142,83,59,9
7,27,2018,17,0,6,missing,,Rua Nova Santa Cruz,35,43,8,63,39,24,9
7,27,2018,17,0,6,missing,,Rua Costa Gomes,11,40,29,39,42,-2,9
7,27,2018,17,0,6,missing,,Avenida da Liberdade,15,25,9,251,124,127,9
7,27,2018,17,0,6,missing,,Rua de Caires,22,36,13,79,36,42,9
7,27,2018,17,0,6,missing,,Avenida Central,15,25,9,251,124,127,9
7,27,2018,17,0,6,missing,,Avenida João Paulo II,30,39,9,14,9,5,9
7,27,2018,18,0,6,missing,,N14 Bosch,23,47,23,122,48,74,10
7,27,2018,18,0,6,missing,,Avenida Padre Júlio Fragata,30,67,36,285,83,202,10
7,27,2018,18,0,6,missing,,Rua Nova Santa Cruz,38,43,5,52,39,13,10
7,27,2018,18,0,6,missing,,Rua Costa Gomes,8,40,32,65,42,22,10
7,27,2018,18,0,6,missing,,Avenida da Liberdade,18,25,6,184,124,60,10
7,27,2018,18,0,6,missing,,Rua de Caires,27,36,8,50,36,14,10
7,27,2018,18,0,6,missing,,Avenida Central,18,25,6,184,124,60,10
7,27,2018,18,0,6,missing,,Avenida João Paulo II,23,39,15,25,9,16,10
7,27,2018,19,0,6,missing,,N14 Bosch,29,47,18,91,48,43,11
7,27,2018,19,0,6,missing,,Avenida Padre Júlio Fragata,31,67,35,209,83,126,11
7,27,2018,19,0,6,missing,,Rua Nova Santa Cruz,40,43,3,47,39,7,11
7,27,2018,19,0,6,missing,,Rua Costa Gomes,9,40,31,36,42,-6,11
7,27,2018,19,0,6,missing,,Avenida da Liberdade,23,25,1,136,124,12,11
7,27,2018,19,0,6,missing,,Rua de Caires,30,36,5,45,36,8,11
7,27,2018,19,0,6,missing,,Avenida Central,23,25,1,136,124,12,11
7,27,2018,19,0,6,missing,,Avenida João Paulo II,34,39,4,10,9,1,11
7,27,2018,20,0,6,missing,,N14 Bosch,43,47,4,54,48,6,12
7,27,2018,20,0,6,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,12
7,27,2018,20,0,6,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,12
7,27,2018,20,0,6,missing,,Rua Costa Gomes,13,40,27,17,42,-24,12
7,27,2018,20,0,6,missing,,Avenida da Liberdade,24,25,0,128,124,4,12
7,27,2018,20,0,6,missing,,Rua de Caires,31,36,4,45,36,8,12
7,27,2018,20,0,6,missing,,Avenida Central,24,25,0,130,124,6,12
7,27,2018,20,0,6,missing,,Avenida João Paulo II,35,39,3,10,9,1,12
7,27,2018,21,0,6,missing,,N14 Bosch,47,47,0,48,48,0,13
7,27,2018,21,0,6,missing,,Avenida Padre Júlio Fragata,65,67,1,85,83,2,13
7,27,2018,21,0,6,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,13
7,27,2018,21,0,6,missing,,Rua Costa Gomes,15,40,25,15,42,-26,13
7,27,2018,21,0,6,missing,,Avenida da Liberdade,23,25,1,134,124,10,13
7,27,2018,21,0,6,missing,,Rua de Caires,31,36,4,43,36,6,13
7,27,2018,21,0,6,missing,,Avenida Central,23,25,1,134,124,10,13
7,27,2018,21,0,6,missing,,Avenida João Paulo II,37,39,1,9,9,0,13
7,27,2018,22,0,6,missing,,N14 Bosch,43,47,3,58,48,10,14
7,27,2018,22,0,6,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,14
7,27,2018,22,0,6,missing,,Rua Nova Santa Cruz,41,43,2,43,39,3,14
7,27,2018,22,0,6,missing,,Rua Costa Gomes,15,40,25,15,42,-26,14
7,27,2018,22,0,6,missing,,Avenida da Liberdade,25,25,0,124,124,0,14
7,27,2018,22,0,6,missing,,Rua de Caires,33,36,2,42,36,5,14
7,27,2018,22,0,6,missing,,Avenida Central,25,25,0,124,124,0,14
7,27,2018,22,0,6,missing,,Avenida João Paulo II,39,39,0,9,9,0,14
7,27,2018,23,0,6,missing,,N14 Bosch,47,47,0,48,48,0,15
7,27,2018,23,0,6,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,15
7,27,2018,23,0,6,missing,,Rua Nova Santa Cruz,39,43,3,44,39,5,15
7,27,2018,23,0,6,missing,,Rua Costa Gomes,15,40,25,15,42,-26,15
7,27,2018,23,0,6,missing,,Avenida da Liberdade,24,25,0,128,124,4,15
7,27,2018,23,0,6,missing,,Rua de Caires,34,36,2,39,36,2,15
7,27,2018,23,0,6,missing,,Avenida Central,24,25,0,128,124,4,15
7,27,2018,23,0,6,missing,,Avenida João Paulo II,39,39,0,9,9,0,15
8,2,2018,6,0,5,missing,,N14 Bosch,47,47,0,48,48,0,122
8,2,2018,6,0,5,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,122
8,2,2018,6,0,5,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,122
8,2,2018,6,0,5,missing,,Rua Costa Gomes,15,40,25,15,42,-26,122
8,2,2018,6,0,5,missing,,Avenida da Liberdade,25,25,0,124,124,0,122
8,2,2018,6,0,5,missing,,Rua de Caires,36,36,0,36,36,0,122
8,2,2018,6,0,5,missing,,Avenida Central,25,25,0,124,124,0,122
8,2,2018,6,0,5,missing,,Avenida João Paulo II,37,39,1,9,9,0,122
8,2,2018,8,0,5,missing,,N14 Bosch,32,47,14,75,48,27,123
8,2,2018,8,0,5,missing,,Avenida Padre Júlio Fragata,54,67,12,108,83,25,123
8,2,2018,8,0,5,missing,,Rua Nova Santa Cruz,26,43,17,84,39,44,123
8,2,2018,8,0,5,missing,,Rua Costa Gomes,14,40,26,16,42,-25,123
8,2,2018,8,0,5,missing,,Avenida da Liberdade,20,25,4,155,124,31,123
8,2,2018,8,0,5,missing,,Rua de Caires,27,36,9,51,36,14,123
