"Mes","Dia","Ano","Hora","Minutos","Dia da semana","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,27,2018,6,0,6,10,,,,
8,1,2018,7,0,4,10,,,,
8,1,2018,8,0,4,10,,,,
8,7,2018,22,0,3,10,,,,
8,8,2018,10,0,4,10,,,,
8,8,2018,12,0,4,10,,,,
8,8,2018,16,0,4,10,,,,
8,8,2018,19,0,4,10,,,,
8,13,2018,7,0,2,10,,,,
8,13,2018,8,0,2,10,,,,
8,14,2018,22,0,3,10,,,,
8,16,2018,12,0,5,10,,,,
8,23,2018,20,0,5,10,,,,
8,26,2018,23,0,8,10,,,,
8,31,2018,5,0,6,10,,,,
9,19,2018,13,0,4,10,,,,
9,25,2018,7,0,3,10,,,,
9,25,2018,8,0,3,10,,,,
9,25,2018,20,0,3,10,,,,
9,27,2018,11,0,5,10,,,,
9,28,2018,18,0,6,10,,,,
9,30,2018,9,0,8,10,,,,
9,30,2018,12,0,8,10,,,,
10,3,2018,12,0,4,10,,,,
10,6,2018,23,0,7,10,,,,
10,8,2018,9,0,2,10,,,,
10,8,2018,20,0,2,10,,,,
10,10,2018,11,0,4,10,,,,
10,11,2018,12,0,5,10,,,,
10,12,2018,1,0,6,10,,,,
10,13,2018,10,0,7,10,,,,
10,14,2018,21,0,8,10,,,,
10,15,2018,19,0,2,10,,,,
10,18,2018,14,0,5,10,,,,
10,20,2018,7,0,7,10,,,,
10,20,2018,10,0,7,10,,,,
10,24,2018,7,0,4,10,,,,
10,24,2018,8,0,4,10,,,,
10,24,2018,9,0,4,10,,,,
10,29,2018,7,0,2,10,,,,
10,31,2018,6,0,4,10,,,,
10,31,2018,7,0,4,10,,,,
11,9,2018,10,0,6,10,,,,
11,21,2018,21,0,4,10,,,,
11,25,2018,6,0,8,10,,,,
12,4,2018,6,0,3,10,,,,
12,4,2018,20,0,3,10,,,,
12,5,2018,18,0,4,10,,,,
12,10,2018,5,0,2,10,,,,
12,12,2018,2,0,4,10,,,,
12,12,2018,14,0,4,10,,,,
12,12,2018,15,0,4,10,,,,
12,12,2018,16,0,4,10,,,,
