description,from_road,to_road,length_in_meters,delay_in_seconds,Year,Month (number),Day of month,Hour,Minute,rua_name,dupl_from,dupl_to,new_from,new_to
stationary traffic,Avenida Central,N103 (N101),678,245,2018,12,4,18,0,Avenida Central,1,0,1,0
stationary traffic,N101 (Rua De Santa Margarida),Avenida Central,498,202,2018,12,4,18,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,N103 (N101),615,265,2018,12,4,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,322,245,2018,12,4,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),453,652,2018,12,4,19,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,370,246,2018,12,4,19,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida Dom João II,205,274,2018,12,4,20,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,362,272,2018,12,5,9,0,Avenida da Liberdade,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,334,149,2018,12,5,9,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,371,226,2018,12,5,9,0,Rua Nova de Santa Cruz,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,160,2018,12,5,15,0,Avenida Central,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,155,2018,12,5,16,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,248,205,2018,12,5,17,0,Avenida da Liberdade,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,440,416,2018,12,5,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,259,2018,12,5,18,0,Avenida Central,0,0,0,0
stationary traffic,N101 (Rua De Santa Margarida),Avenida Central,615,214,2018,12,5,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,287,2018,12,5,19,0,Avenida Central,0,0,1,0
queuing traffic,Avenida Central,N103 (N101),551,192,2018,12,5,19,0,Avenida Central,1,0,1,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,645,2018,12,5,19,0,Avenida Central,1,0,1,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,427,2018,12,6,9,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,322,265,2018,12,6,9,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,226,2018,12,6,10,0,Avenida Central,0,0,1,1
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),147,140,2018,12,6,10,0,Avenida Central,1,1,1,1
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),238,196,2018,12,6,11,0,Avenida Central,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,228,174,2018,12,6,14,0,Rua Nova de Santa Cruz,0,0,0,0
queuing traffic,N101 (Rua De Santa Margarida),Avenida Central,498,137,2018,12,6,15,0,Avenida Central,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),290,166,2018,12,6,17,0,Avenida Central,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),290,173,2018,12,6,18,0,Avenida Central,0,0,1,0
stationary traffic,Avenida Central,N103 (N101),560,210,2018,12,6,18,0,Avenida Central,1,0,1,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),453,740,2018,12,6,18,0,Avenida Central,1,0,1,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,376,233,2018,12,6,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida António Macedo,Avenida da Liberdade,278,180,2018,12,6,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Praça Conselheiro Torres Almeida / Rua dos Biscaínhos,Avenida Central,322,175,2018,12,6,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),205,166,2018,12,6,19,0,Avenida Central,0,0,1,0
stationary traffic,Avenida Central,Rua Do Raio Penha (N101),513,226,2018,12,6,19,0,Avenida Central,1,0,1,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),250,164,2018,12,6,19,0,Avenida da Liberdade,0,0,0,0
queuing traffic,Avenida Central,N101 (Rua De Santa Margarida),615,151,2018,12,6,19,0,Avenida Central,0,0,0,0
slow traffic,Rua Doutor Francisco Duarte (Avenida 31 De Janeiro),Avenida Central,498,129,2018,12,6,19,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,440,289,2018,12,6,19,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Rua Nova de Santa Cruz,Avenida João Paulo II,381,463,2018,12,6,19,0,Avenida João Paulo II,0,0,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida João Paulo II,264,234,2018,12,6,22,0,Avenida João Paulo II,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,217,2018,12,7,9,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,334,171,2018,12,7,9,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,440,412,2018,12,7,9,0,Rua Nova de Santa Cruz,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,202,2018,12,7,13,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),205,136,2018,12,7,16,0,Avenida Central,0,0,0,0
queuing traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,322,129,2018,12,7,16,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,322,327,2018,12,7,17,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,253,2018,12,7,17,0,Avenida Central,0,0,0,0
stationary traffic,Praça Conselheiro Torres Almeida / Rua dos Biscaínhos,Avenida Central,322,307,2018,12,7,18,0,Avenida Central,0,0,0,0
