"Mes","Dia","Ano","Hora","Minutos","Dia da semana","city_name","road_num","road_name","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff"
7,25,2018,0,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,1,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,1,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,1,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,1,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,1,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,1,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,1,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,1,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,2,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,2,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,2,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,2,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,2,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,2,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,2,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,2,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,3,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,3,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,3,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,3,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,3,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,3,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,3,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,3,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,4,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,4,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,4,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,4,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,4,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,4,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,4,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,4,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,5,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,5,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,5,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,5,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,5,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,5,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,5,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,5,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,6,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,6,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,6,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,6,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,6,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,6,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,6,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,6,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,7,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,7,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,7,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,7,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,7,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,7,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,7,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,7,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,8,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,8,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,8,0,4,"Braga",3,"Rua de Caires",13,37,24,104,36,68
7,25,2018,8,0,4,"Braga",4,"N14 Bosch",28,47,19,80,48,32
7,25,2018,8,0,4,"Braga",5,"Avenida João Paulo II",28,39,11,12,9,3
7,25,2018,8,0,4,"Braga",6,"Avenida Padre Júlio Fragata",26,67,41,214,83,131
7,25,2018,8,0,4,"Braga",7,"Rua Nova Santa Cruz",19,43,24,91,40,51
7,25,2018,8,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,9,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,9,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,9,0,4,"Braga",3,"Rua de Caires",25,37,12,54,36,18
7,25,2018,9,0,4,"Braga",4,"N14 Bosch",30,47,17,75,48,27
7,25,2018,9,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,9,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,9,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,9,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,10,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,10,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,10,0,4,"Braga",3,"Rua de Caires",28,37,9,48,36,12
7,25,2018,10,0,4,"Braga",4,"N14 Bosch",18,47,29,125,48,77
7,25,2018,10,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,10,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,10,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,10,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,11,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,11,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,11,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,11,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,11,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,11,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,11,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,11,0,4,"Braga",8,"Rua Costa Gomes",13,40,27,133,43,90
7,25,2018,12,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,12,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,12,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,12,0,4,"Braga",4,"N14 Bosch",15,47,32,150,48,102
7,25,2018,12,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,12,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,12,0,4,"Braga",7,"Rua Nova Santa Cruz",23,43,20,75,40,35
7,25,2018,12,0,4,"Braga",8,"Rua Costa Gomes",26,40,14,67,43,24
7,25,2018,13,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,13,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,13,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,13,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,13,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,13,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,13,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,13,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,14,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,14,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,14,0,4,"Braga",3,"Rua de Caires",26,37,11,52,36,16
7,25,2018,14,0,4,"Braga",4,"N14 Bosch",29,47,18,77,48,29
7,25,2018,14,0,4,"Braga",5,"Avenida João Paulo II",28,39,11,12,9,3
7,25,2018,14,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,14,0,4,"Braga",7,"Rua Nova Santa Cruz",32,43,11,54,40,14
7,25,2018,14,0,4,"Braga",8,"Rua Costa Gomes",31,40,9,56,43,13
7,25,2018,15,0,4,"Braga",1,"Avenida da Liberdade",19,25,6,163,124,39
7,25,2018,15,0,4,"Braga",2,"Avenida Central",19,25,6,163,124,39
7,25,2018,15,0,4,"Braga",3,"Rua de Caires",24,37,13,56,36,20
7,25,2018,15,0,4,"Braga",4,"N14 Bosch",32,47,15,70,48,22
7,25,2018,15,0,4,"Braga",5,"Avenida João Paulo II",24,39,15,15,9,6
7,25,2018,15,0,4,"Braga",6,"Avenida Padre Júlio Fragata",15,67,52,372,83,289
7,25,2018,15,0,4,"Braga",7,"Rua Nova Santa Cruz",28,43,15,62,40,22
7,25,2018,15,0,4,"Braga",8,"Rua Costa Gomes",30,40,10,58,43,15
7,25,2018,16,0,4,"Braga",1,"Avenida da Liberdade",19,25,6,163,124,39
7,25,2018,16,0,4,"Braga",2,"Avenida Central",19,25,6,163,124,39
7,25,2018,16,0,4,"Braga",3,"Rua de Caires",28,37,9,48,36,12
7,25,2018,16,0,4,"Braga",4,"N14 Bosch",36,47,11,62,48,14
7,25,2018,16,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,16,0,4,"Braga",6,"Avenida Padre Júlio Fragata",20,67,47,279,83,196
7,25,2018,16,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,16,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,17,0,4,"Braga",1,"Avenida da Liberdade",18,25,7,172,124,48
7,25,2018,17,0,4,"Braga",2,"Avenida Central",18,25,7,172,124,48
