Mes,Dia,Ano,Hora,Minutos,Dia da semana,free_flow_distance,total_time,total_speed,length_in_meters,delay_in_seconds,incidente,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,no_rain,chuva_fraca,chuva,chuva_trovoada,chuva_intensa,diif_ranker
7,26,2018,8,0,5,2544.0,83.0,38.985,0.0,0.0,0.0,19.0,1016.0,88.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,10.682
7,26,2018,9,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,20.0,1017.0,88.0,3.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,10,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,21.0,1017.0,83.0,5.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,11,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,21.0,1016.0,83.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,12,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,22.0,1016.0,78.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,13,0,5,2544.0,45.0,46.417,0.0,0.0,0.0,21.0,1016.0,73.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,3.25
7,26,2018,14,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,22.0,1016.0,68.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,15,0,5,2544.0,46.333,43.979,0.0,0.0,0.0,21.0,1016.0,73.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.688
7,26,2018,16,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,21.0,1016.0,77.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,17,0,5,2544.0,72.667,30.939,0.0,0.0,0.0,20.0,1016.0,82.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,18.728
7,26,2018,18,0,5,2544.0,108.333,25.569,236.667,36.333,0.333,21.0,1016.0,77.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,24.098
7,26,2018,19,0,5,2544.0,57.333,40.562,0.0,0.0,0.0,19.0,1016.0,82.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,9.105
7,26,2018,20,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1016.0,93.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,21,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1017.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,22,0,5,2544.0,44.0,49.667,0.0,0.0,0.0,16.0,1016.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,26,2018,23,0,5,2529.667,44.667,48.888,0.0,0.0,0.0,16.0,1016.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.779
7,27,2018,0,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,16.0,1016.0,100.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,1,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1016.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,2,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,3,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,4,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1015.0,100.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,5,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1015.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,6,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1015.0,97.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,7,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,8,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,19.0,1016.0,88.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,9,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,21.0,1016.0,68.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,10,0,6,2544.0,44.0,49.667,0.0,0.0,0.0,21.0,1016.0,77.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,27,2018,11,0,6,2529.667,46.667,45.927,0.0,0.0,0.0,21.0,1016.0,77.0,2.0,40.0,1.0,0.0,0.0,0.0,0.0,3.74
7,27,2018,12,0,6,2529.667,51.667,43.049,0.0,0.0,0.0,22.0,1016.0,64.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,6.617
