Atual, Previsto
3438.0,3390.645751953125
2104.0,2107.96435546875
2777.0,2768.0712890625
1811.0,1850.963623046875
2199.0,2205.0693359375
2558.0,2564.755126953125
2861.0,2841.041748046875
2866.0,2845.406982421875
1811.0,1791.6546630859375
1835.0,1863.234130859375
2533.0,2527.97509765625
2535.0,2530.89990234375
