Atual,Previsao
0.0,-0.17930473
14.999999999999998,14.757222
0.0,-0.17949021
0.0,-0.17955567
0.0,-0.17958476
0.0,-0.17958839
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958839
11.731,11.070573
0.0,-0.17957748
15.25,15.307322
18.3,17.831242
18.3,18.035192
13.332999999999998,13.56075
19.677,19.400629
0.0,-0.17956658
16.828,16.653187
0.0,-0.17957021
0.0,-0.17957748
27.289,27.385834
0.0,-0.17959931
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
16.828,16.408163
25.416999999999998,25.054632
13.556,13.408571
0.0,-0.17957748
0.0,-0.17958112
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
13.332999999999998,13.449445
14.077,13.448848
16.552,16.609444
35.043,34.464832
36.102,35.88449
20.333,20.39263
0.0,-0.17959568
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
18.0,17.71347
0.0,-0.17958112
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958112
13.332999999999998,13.440785
0.0,-0.17957748
0.0,-0.17957748
17.429000000000002,17.056662
14.077,13.624647
31.244000000000003,30.994753
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17959203
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
19.355,19.381672
0.0,-0.17958476
0.0,-0.17958476
15.815000000000001,15.50974
0.0,-0.17958476
0.0,-0.17958112
0.0,-0.17958476
0.0,-0.17957748
0.0,-0.17958112
19.355,19.413874
45.556999999999995,45.270077
16.552,17.429968
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
27.111,26.661861
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
21.818,22.303389
11.538,11.659575
0.0,-0.17958112
0.0,-0.17958476
26.143,25.376951
37.981,37.806038
11.538,12.651585
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958839
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
19.355,19.48223
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958112
0.0,-0.17958476
0.0,-0.17958112
18.930999999999997,18.509268
18.930999999999997,18.576271
38.275999999999996,38.546516
43.493,44.172684
20.625,21.417181
0.0,-0.17958476
0.0,-0.17959568
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17959203
0.0,-0.17958839
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958476
15.815000000000001,15.541965
14.999999999999998,15.20951
15.815000000000001,15.831307
14.999999999999998,15.578808
28.026999999999997,27.617525
33.273,33.198467
22.875,22.90412
21.818,21.97088
21.645,21.19854
0.0,-0.17943929
26.842,27.665272
0.0,-0.1794611
0.0,-0.17954113
0.0,-0.17957385
0.0,-0.17958476
0.0,-0.17958476
0.0,-0.17958839
